Times,Rate,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,0.2,5,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.58,0.9,0.7224956747275377,0.45000000000000007,0.6333333333333333,0.74,"[[29 21]
 [ 1  9]]"
1,0.2,5,1,own_class_center,lin_center_own,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,5,1,own_class_center,exp,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,5,1,estimated_hyper_lin,lin_center_own,0.92,0.4,0.6066300355241241,0.4444444444444445,0.8333333333333334,0.66,"[[46  4]
 [ 6  4]]"
1,0.2,5,1,estimated_hyper_lin,exp,0.88,0.5,0.6633249580710799,0.47619047619047616,0.8166666666666667,0.6900000000000001,"[[44  6]
 [ 5  5]]"
1,0.2,5,1,actual_hyper_lin,lin_center_own,0.56,0.9,0.709929573971954,0.4390243902439024,0.6166666666666667,0.73,"[[28 22]
 [ 1  9]]"
1,0.2,5,1,actual_hyper_lin,exp,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,5,1,distance_center_own_opposite_tam,func_own_opp_new,0.88,0.5,0.6633249580710799,0.47619047619047616,0.8166666666666667,0.6900000000000001,"[[44  6]
 [ 5  5]]"
1,0.2,5,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.88,0.6,0.726636084983398,0.5454545454545454,0.8333333333333334,0.7400000000000001,"[[44  6]
 [ 4  6]]"
1,0.2,5,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.58,0.9,0.7224956747275377,0.45000000000000007,0.6333333333333333,0.74,"[[29 21]
 [ 1  9]]"
Times,Rate,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
2,0.2,1,None,SVM,SVM,1.0,0.1,0.31622776601683794,0.18181818181818182,0.85,0.55,"[[50  0]
 [ 9  1]]"
2,0.2,1,None,WSVM,WSVM,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
2,0.2,1,None,own_class_center,lin_center_own,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
2,0.2,1,None,own_class_center,exp,0.94,0.7,0.8111719916269299,0.7,0.9,0.82,"[[47  3]
 [ 3  7]]"
2,0.2,1,None,estimated_hyper_lin,lin_center_own,0.96,0.7,0.8197560612767678,0.7368421052631577,0.9166666666666666,0.83,"[[48  2]
 [ 3  7]]"
2,0.2,1,None,estimated_hyper_lin,exp,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
2,0.2,1,None,actual_hyper_lin,lin_center_own,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,"[[50  0]
 [10  0]]"
2,0.2,1,None,actual_hyper_lin,exp,0.94,0.8,0.867179335547152,0.761904761904762,0.9166666666666666,0.87,"[[47  3]
 [ 2  8]]"
2,0.2,1,None,distance_center_own_opposite_tam,func_own_opp_new,0.96,0.6,0.758946638440411,0.6666666666666665,0.9,0.78,"[[48  2]
 [ 4  6]]"
2,0.2,1,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.94,0.7,0.8111719916269299,0.7,0.9,0.82,"[[47  3]
 [ 3  7]]"
2,0.2,1,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.7,1.0,0.8366600265340756,0.5714285714285715,0.75,0.85,"[[35 15]
 [ 0 10]]"
2,0.2,1,1,own_class_center,lin_center_own,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
2,0.2,1,1,own_class_center,exp,0.94,0.7,0.8111719916269299,0.7,0.9,0.82,"[[47  3]
 [ 3  7]]"
2,0.2,1,1,estimated_hyper_lin,lin_center_own,0.96,0.7,0.8197560612767678,0.7368421052631577,0.9166666666666666,0.83,"[[48  2]
 [ 3  7]]"
2,0.2,1,1,estimated_hyper_lin,exp,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
2,0.2,1,1,actual_hyper_lin,lin_center_own,0.68,1.0,0.8246211251235321,0.5555555555555556,0.7333333333333333,0.84,"[[34 16]
 [ 0 10]]"
2,0.2,1,1,actual_hyper_lin,exp,0.94,0.8,0.867179335547152,0.761904761904762,0.9166666666666666,0.87,"[[47  3]
 [ 2  8]]"
2,0.2,1,1,distance_center_own_opposite_tam,func_own_opp_new,0.96,0.6,0.758946638440411,0.6666666666666665,0.9,0.78,"[[48  2]
 [ 4  6]]"
2,0.2,1,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.96,0.7,0.8197560612767678,0.7368421052631577,0.9166666666666666,0.83,"[[48  2]
 [ 3  7]]"
2,0.2,1,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.7,1.0,0.8366600265340756,0.5714285714285715,0.75,0.85,"[[35 15]
 [ 0 10]]"
2,0.2,2,None,SVM,SVM,0.98,0.3,0.5422176684690383,0.4285714285714285,0.8666666666666667,0.64,"[[49  1]
 [ 7  3]]"
