Times,IR,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,0.2,1,actual_hyper_lin,lin_center_own,0.98,0.0,0.0,0.0,0.8166666666666667,0.49,"[[49  1]
 [10  0]]"
1,0.2,1,actual_hyper_lin,exp,0.76,0.7,0.7293833011524187,0.48275862068965514,0.75,0.73,"[[38 12]
 [ 3  7]]"
1,0.2,1,distance_center_own_opposite_tam,func_own_opp_new,0.76,0.7,0.7293833011524187,0.48275862068965514,0.75,0.73,"[[38 12]
 [ 3  7]]"
1,0.2,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.76,0.8,0.7797435475847172,0.5333333333333333,0.7666666666666667,0.78,"[[38 12]
 [ 2  8]]"
1,0.2,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.76,0.8,0.7797435475847172,0.5333333333333333,0.7666666666666667,0.78,"[[38 12]
 [ 2  8]]"
1,0.2,2,SVM,SVM,0.96,0.4,0.6196773353931867,0.5,0.8666666666666667,0.6799999999999999,"[[48  2]
 [ 6  4]]"
1,0.2,2,WSVM,WSVM,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,2,own_class_center,lin_center_own,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,2,own_class_center,exp,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,2,estimated_hyper_lin,lin_center_own,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,2,estimated_hyper_lin,exp,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,2,actual_hyper_lin,lin_center_own,0.64,0.8,0.7155417527999327,0.4444444444444444,0.6666666666666666,0.7200000000000001,"[[32 18]
 [ 2  8]]"
1,0.2,2,actual_hyper_lin,exp,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
1,0.2,2,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,2,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,2,distance_center_own_opposite_tam,func_own_opp_new_v2,0.92,0.5,0.6782329983125268,0.5263157894736842,0.85,0.7100000000000001,"[[46  4]
 [ 5  5]]"
1,0.2,3,SVM,SVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,"[[50  0]
 [10  0]]"
1,0.2,3,WSVM,WSVM,0.98,0.6,0.7668115805072325,0.7058823529411764,0.9166666666666666,0.79,"[[49  1]
 [ 4  6]]"
